trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,mouse.y,mouse.time,mouse.clicked_name,,mouse.time,mouse.clicked_name,,,
75,0,75,0,10,[0.05185185185185185],1.6824557,['target'],,,,,,
78,0,78,0,10,[0.36018518518518516],1.4335349,['target'],,,,,,
79,0,79,0,10,[0.08611111111111111],1.5209221,['target'],,,,,,
80,0,80,0,10,[0.07777777777777778],1.3439477,['target'],,,,,,
82,0,82,0,10,[0.4027777777777778],1.6832474,['target'],,,,,,
85,0,85,0,10,[-0.27685185185185185],1.6321037,['target'],,,,,,
86,0,86,0,10,[-0.2833333333333333],1.8333323,['target'],,,,,,
87,0,87,0,10,[-0.2712962962962963],1.5993955,['target'],,,,,,
89,0,89,0,10,[0.18611111111111112],1.4803332,['target'],,,,,,
90,0,90,0,10,[-0.041666666666666664],1.5280377,['target'],,,,,,
91,0,91,0,10,[-0.3925925925925926],1.6051219,['target'],,,,,,
92,0,92,0,10,[-0.3925925925925926],1.7479799,['target'],,,,,,
93,0,93,0,10,[0.2916666666666667],2.0978787,['target'],,,,,,
95,0,95,0,10,[-0.18333333333333332],1.6833698,['target'],,,,,,
98,0,98,0,10,[0.21944444444444444],1.7658896,['target'],,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,set size 10,1.613844935,1.6826535,1.79264268,1.689856,1.802528,average =,1.716305023,
,,,,,set size 5,1.573968731,1.636015945,1.768692676,1.595154,1.718735,average =,1.65851327,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,5,1.658513,,,,,,
,,,,,,10,1.716305,,,,,,
